Fields,psych area,key topic,Target population (y/n),number,Title,Authors,Journal,Alert Month,Pulication date,Link,Abstract,
Psych,,,,11,The Role of Experiential Avoidance in Obsessive–Compulsive Personality Disorder Traits.,"MG Wheaton, A Pinto",Psychnet,July,July 2016,http://psycnet.apa.org/psycinfo/2016-29865-001/,"Obsessive–compulsive personality disorder (OCPD) is one of the most prevalent personality disorders, yet it remains an understudied phenomenon. Experiential avoidance (EA) has been investigated as a factor relevant in many forms of psychopathology, including borderline personality disorder. To date however, no study has yet investigated whether EA might also be relevant to OCPD. We administered a measure of EA and a multidimensional OCPD measure (assessing 5 OCPD trait dimensions and overall severity) to a large community sample (N = 571) as well as a group of individuals with self-identified OCPD features (N = 53). Results revealed that the OCPD group experienced heightened EA relative to the unscreened community sample, even controlling for group differences in distress symptoms. Correlational analyses showed significant relationships between EA and all 5 OCPD trait dimensions and overall severity. Moreover, EA accounted for OCPD traits and severity after controlling for symptoms of depression, anxiety, and stress. Implications for the role of EA in OCPD, including treatment implications, are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",
Psych,,,,12,"Interpersonal Circumplex Profiles Of Persistent Depression: Goals, Self‐Efficacy, Problems, And Effects Of Group Therapy","KD Locke, L Sayegh, JK Penberthy, C Weber, K Haentjens, G Turecki",Journal of Clinical Psychology,July,July 2016,http://onlinelibrary.wiley.com/doi/10.1002/jclp.22343/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=,"Objectives: We assessed severely and persistently depressed patients’ interpersonal self-efficacy, problems, and goals, plus changes in interpersonal functioning and depression during 20 weeks of group therapy. Method: Outpatients (32 female, 26 male, mean age = 45 years) completed interpersonal circumplex measures of goals, efficacy, and problems before completing 20 weeks of manualized group therapy, during which we regularly assessed depression and interpersonal style. Results: Compared to normative samples, patients lacked interpersonal agency, including less self-efficacy for expressive/assertive actions; stronger motives to avoid conflict, scorn, and humiliation; and more problems with being too submissive, inhibited, and accommodating. Behavioral Activation and especially Cognitive Behavioral Analysis System of Psychotherapy interventions produced improvements in depression and interpersonal agency, with increases in “agentic and communal” efficacy predicting subsequent decreases in depression. Conclusions: While severely and persistently depressed patients were prone to express maladaptive interpersonal dispositions, over the course of group therapy, they showed increasingly agentic and beneficial patterns of cognitions, motives, and behaviors.",
Politics,,,,13,"Rights, Reflection, and Reciprocity: Implications of the Same-Sex Marriage Debate for Tolerance and the Political Process","PA Djupe, AR Lewis, TG Jelen",Politics and Religion,July,July 2016,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=10403062&fileId=S1755048316000547,"Contentious battles over state-level Religious Freedom Restoration Acts suggest a fundamental refashioning of the “culture war” clashes in American politics. Conservatives — particularly religious conservatives — have come to champion a politics of rights, using “liberal weapons” (rights) to win battles or at least stave off loses. This raises important questions about the long-run effects of making rights claims. Does rights claiming lead to balkanization and reinforce group boundaries or is rights claiming an education in the democratic process that promotes tolerance? Drawing on evidence from an experimental design, we find that exposure to rights claims made by clergy regarding exemptions from participation in same-sex ceremonies acts as a prime to boost tolerance of selected least-liked groups, an effect particularly potent for evangelical Protestants.",
Technology,,,,14,Beyond entities: promoting explorative search with bundles,"I Bordino, M Lalmas, Y Mejova, O Van Laere",Information Retrieval Journal,July,July 2016,http://link.springer.com/article/10.1007/s10791-016-9283-5,"Search engines are increasingly going beyond the pure relevance of search results to entertain users with information items that are interesting and even surprising, albeit sometimes not fully related to their search intent. In this paper, we study this serendipitous search space in the context of entity search, which has recently emerged as a powerful paradigm for building semantically rich answers. Specifically, our work proposes to enhance an explorative search system that represents a large sample of Yahoo Answers as an entity network, with a result structuring that goes beyond ranked lists, using composite entity retrieval, which requires a bundling of the results. We propose and compare six bundling methods, which exploit topical categories, entity specializations, and sentiment, and go beyond simple entity clustering. Two large-scale crowd-sourced studies show that users find a bundled organization—especially based on the topical categories of the query entity—to be better at revealing the most useful results, as well as at organizing the results, helping to discover novel and interesting information, and promoting exploration. Finally, a third study of 30 simulated search tasks reveals the bundled search experience to be less frustrating and more rewarding, with more users willing to recommend it to others.",
Buisiness/ Marketing,,,,15,Powerful or powerless customers: the influence of gratitude on engagement with CSR,"Anna S. Mattila , Laurie Wu , Choongbeom Choi ,",Journal of Services Marketing,July,July 2016,http://www.emeraldinsight.com/doi/abs/10.1108/JSM-07-2014-0233,"Purpose: The purpose of this study is to examine how gratitude appeals and consumers’ sense of power jointly influence customer engagement in a service firm’s corporate social responsibility (CSR) initiatives. Based on previous literature, the authors propose that power moderates the effect of gratitude expression on consumers’ attitudes and behavioral intention to engage in matching donations. Design/methodology/approach: A 2 (power: powerful vs powerless) × 2 (gratitude expression: included in the request vs none) between-subjects experiment was conducted to test the proposed hypotheses. Participants were asked to imagine that they recently saw a donation request while dining at a local restaurant and they then complete scales that measured their attitude and donation intention to engage in a restaurant’s CSR practice. Findings: The findings of this study indicate that an expression of gratitude enhanced powerless but not powerful customers’ intention to engage in CSR practices. In addition, moderated mediation tests revealed social worth concerns as the underlying mechanism between gratitude expression and customer engagement for powerless consumers. However, such mediation effects were not observed for powerful consumers. Originality/value: The current study identifies sense of power as a new psychological state that can influence donation behaviors in the context of CSR. In addition, the current study shows that the serial mediating role of social worth between gratitude expression and prosocial behaviors only holds true for individuals with a low sense of power.",
Psych,,,,16,Openness and other Big Five traits in relation to dispositional mixed emotions,"KA Barford, LD Smillie",Personality and Individual Differences,July,July 2016,http://www.sciencedirect.com/science/article/pii/S0191886916308327,"Despite accumulating evidence for concurrent feelings of positivity and negativity (e.g., simultaneous happiness and sadness), little is known about individual differences in these mixed emotions experiences. We examined relations between a novel measure of dispositional mixed emotions (the Trait Mixed Emotions Scale; TMES) and the Big Five trait domains and aspects. We derived two a-priori predictions: (1) Openness/Intellect—reflecting cognitive flexibility and exploration—would predict the TMES, and (2) Extraversion and Neuroticism—reflecting susceptibility to positive and negative emotions, respectively—would jointly predict the TMES. Results showed that two measures of the Openness aspect of Openness/Intellect positively predicted TMES scores. Extraversion and Neuroticism did not jointly predict the TMES. Neuroticism positively predicted the TMES, but this reflected the relation of Neuroticism with dispositional negative emotions. The Volatility aspect of Neuroticism, however, was a positive predictor of the TMES beyond its relation with trait negativity. Our findings inform further study of differential mixed emotions experiences, and may help consolidate the previous fragmented literature in this area.",
Psych,,,,17,Telling in-tune from out-of-tune: widespread evidence for implicit absolute intonation,"SC Van Hedger, SLM Heald, A Huang, B Rutstein, HC Nusbaum",Psychonomic Bulletin & Review,July,July 2016,http://link.springer.com/article/10.3758/s13423-016-1099-1,"Absolute pitch (AP) is the rare ability to name or produce an isolated musical note without the aid of a reference note. One skill thought to be unique to AP possessors is the ability to provide absolute intonation judgments (e.g., classifying an isolated note as “in-tune” or “out-of-tune”). Recent work has suggested that absolute intonation perception among AP possessors is not crystallized in a critical period of development, but is dynamically maintained by the listening environment, in which the vast majority of Western music is tuned to a specific cultural standard. Given that all listeners of Western music are constantly exposed to this specific cultural tuning standard, our experiments address whether absolute intonation perception extends beyond AP possessors. We demonstrate that non-AP listeners are able to accurately judge the intonation of completely isolated notes. Both musicians and nonmusicians showed evidence for absolute intonation recognition when listening to familiar timbres (piano and violin). When testing unfamiliar timbres (triangle and inverted sine waves), only musicians showed weak evidence of absolute intonation recognition (Experiment 2). Overall, these results highlight a previously unknown similarity between AP and non-AP possessors’ long-term musical note representations, including evidence of sensitivity to frequency.",
Psych,,,,18,"Immuned by Race: Ethnic Identity, Masculinity, and Attachment as Predictors of Cancer Screening among Black Men","DK Atakere, TA Baker",Psychology,July,July 2016,http://file.scirp.org/pdf/PSYCH_2016070717173124.pdf,"An individual’s motivation to screen for cancer is influenced by knowledge of cancer prevalence and perceived likelihood of being diagnosed. While the relationships between health and masculinity, identity, and attachment have been reported, much less is known as to how these factors influence the decision to screen for cancer. This study aimed to determine the influence identified health and social factors have on cancer screening among Black men. Participants (N = 369) were surveyed on questions assessing cancer knowledge, belief about cancer diagnoses, masculinity, self-esteem, attachment style, ethnic identity, and additional social and health characteristics. Results from the multivariate model showed that education, ethnic identity, masculinity, and attachment were significant indicators of cancer screening. Cancer screenings among Black men are contingent upon a myriad of psychological, social, and behavioral factors that are not exclusive, but rather coexisting determinants of health. Understanding the motivation for cancer screening among Black men may begin to diminish the prevalence of having an imminent and aggressive stage of diagnosis among this gendered population. Focusing exclusively on Black men enhances our understanding of this adult population by considering their identity as men of color, while recognizing unique factors that modify actions at the individual, institutional, and policy levels.",
Psych,,,,19,The effects of gamelike features and test location on cognitive test performance and participant enjoyment,"Lumsden J, Skinner A, Woods AT, Lawrence NS, Munafò M",PeerJ,July,July 2016,https://peerj.com/articles/2184/,"Computerised cognitive assessments are a vital tool in the behavioural sciences, but participants often view them as effortful and unengaging. One potential solution is to add gamelike elements to these tasks in order to make them more intrinsically enjoyable, and some researchers have posited that a more engaging task might produce higher quality data. This assumption, however, remains largely untested. We investigated the effects of gamelike features and test location on the data and enjoyment ratings from a simple cognitive task. We tested three gamified variants of the Go-No-Go task, delivered both in the laboratory and online. In the first version of the task participants were rewarded with points for performing optimally. The second version of the task was framed as a cowboy shootout. The third version was a standard Go-No-Go task, used as a control condition. We compared reaction time, accuracy and subjective measures of enjoyment and engagement between task variants and study location. We found points to be a highly suitable game mechanic for gamified cognitive testing because they did not disrupt the validity of the data collected but increased participant enjoyment. However, we found no evidence that gamelike features could increase engagement to the point where participant performance improved. We also found that while participants enjoyed the cowboy themed task, the difficulty of categorising the gamelike stimuli adversely affected participant performance, increasing No-Go error rates by 28% compared to the non-game control. Responses collected online vs. in the laboratory had slightly longer reaction times but were otherwise very similar, supporting other findings that online crowdsourcing is an acceptable method of data collection for this type of research.",
Psych,,,,20,Age Effects on Inattentional Blindness: Implications for Driving,"C Stothart, W Boot, D Simons, N Charness, T Wright",Human Aspects of IT for the Aged Population. Healthy and Active Aging,July,July 2016,http://link.springer.com/chapter/10.1007/978-3-319-39949-2_42,"We may fail to notice things in our environment because our attention is directed somewhere else, a phenomenon called inattentional blindness. Our susceptibility to inattentional blindness increases as we age. We explored three potential moderators of the age and inattentional blindness relationship: (1) the spatial proximity of the unexpected object to our focus of attention; (2) the match between the features of the unexpected object and those we have prioritized—our attention set; and (3) the salience of the unexpected object. Using a large sample of participants, we found no evidence that any of these moderate the effect that age has on inattentional blindness; the effect of age is robust. We discuss the implications for older drivers.",
Technology,,,,21,"Arcs, Angles, or Areas: Individual Data Encodings in Pie and Donut Charts","D Skau, R Kosara",Computer Graphics Forum,July,July 2016,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12888/full,"Pie and donut charts have been a hotly debated topic in the visualization community for some time now. Even though pie charts have been around for over 200 years, our understanding of the perceptual factors used to read data in them is still limited. Data is encoded in pie and donut charts in three ways: arc length, center angle, and segment area. For our first study, we designed variations of pie charts to test the importance of individual encodings for reading accuracy. In our second study, we varied the inner radius of a donut chart from a filled pie to a thin outline to test the impact of removing the central angle. Both studies point to angle being the least important visual cue for both charts, and the donut chart being as accurate as the traditional pie chart.",
Psych,,,,22,High Power Mindsets Reduce Gender Identification and Benevolent Sexism Among Women (But Not Men),"AC Vial, JL Napier",Journal of Experimental Social Psychology,July,July 2016,http://scholar.google.com/scholar_url?url=http://www.sciencedirect.com/science/article/pii/S0022103116302426&hl=en&sa=X&scisig=AAGBfm2AAWrAIPjxYoZ6PZhhQn4A3QJ_RQ&nossl=1&oi=scholaralrt,"We examine how feelings of power affect gender identification and the endorsement of sexism. Participants wrote essays about a time when they felt powerful or powerless (Studies 1–3) or about an event unrelated to power (Studies 2–3). Then, they reported how much they identified with their gender group. When primed with high power, women reported lower levels of gender identification, as compared to those primed with low power (Studies 1–2) and to a control condition (Studies 2–3). In Study 3, we also found that women primed with high power endorsed benevolent (but not hostile) sexism less than women in both the low power and control conditions (Study 3). Power had no impact on men's gender identification or sexism.",
Politics,,,,23,"Stakeholder perceptions of water systems and hydro-climate information in Guanacaste, Costa Rica","M Babcock, G Wong-Parodi, MJ Small, I Grossmann",Earth Perspectives,July,July 2016,http://link.springer.com/article/10.1186/s40322-016-0035-x,"In the face of changing environmental and socio-economic drivers, access to, understanding of, and the use of probabilistic climate forecasts and other sources of scientific hydro-climate information are important for informed decision making in the water sector. This paper characterizes and compares local perceptions of the water system and hydro-climate information in the seasonally dry province of Guanacaste, Costa Rica. Semi-structured interviews were conducted with a total of 40 participants from 7 water-related groups. Interview results were used to compare mental models of the drivers of water systems and water scarcity mitigation/adaptation options, and relate them to stakeholder information needs, accuracy ratings, and use. Our results suggest that: 1) while there appear to be similar perceptions of the drivers of rainfall and groundwater, there is a gap between groups in the use of forecasts, the awareness of management options, and the level of detailed understanding of how the water system works; 2) there are potential mismatches between the information presented in rainfall forecasts and the stated and/or salient information needs of some stakeholders, specifically in the case of groundwater resources; 3) there appear to be different perceptions of forecasts even among groups that rate the accuracy of such forecasts the same; and 4) there appears to be a relationship between the use of forecasts and certain types of management actions such as long-term planning. Our findings warrant further investigation and confirmation and may contribute to the development of communications that help stakeholders make informed decisions about freshwater management in semi-arid regions.",
Buisiness/ Marketing,,,,24,Surface-acting outcomes among service employees with two jobs: investigating moderation and mediation effects,"G Walsh, JJ Dahling, M Schaarschmidt, S Brach",International Journal of Service Industry Management,July,July 2016,http://www.emeraldinsight.com/doi/abs/10.1108/JOSM-05-2015-0169,"Purpose Service firms increasingly hire employees that work two or more jobs. Drawing on conservation of resources theory and the notion that employees have finite emotional resources, this study aims to examine the consequences of emotional labour among employees who simultaneously work in two service jobs. The authors posit that emotional labour requirements from the primary job and secondary job interact to emotionally exhaust employees through a process of resource depletion. Specifically, building on extant work, this research tests a theoretical mediation model of surface acting predicting organizational commitment through emotional exhaustion. Design/methodology/approach Employing a predictive survey approach, 171 frontline-service employees with two jobs from a variety of service industries are surveyed in two waves. The hypothesized model is tested using a bootstrap procedure for testing indirect effects. In addition, the authors investigate first- and second-stage moderation. Findings Results confirm full mediation of the relationship between surface acting and organizational commitment by emotional exhaustion, confirming that the effect of surface acting on organizational commitment is indirect through emotional exhaustion. In addition, results reveal that surface acting in the secondary job moderates the link between surface acting in the primary job and emotional exhaustion, and that employees low on organizational identification congruence display lower levels of organizational commitment with the primary job. Research limitations/implications This study contributes to the literature that relates emotional labour to organizational commitment by investigating contingent factors. The key contribution thus pertains to identifying contingent factors based in COR theory and social identity theory that influence the triadic relation between surface acting, emotional exhaustion and organizational commitment. Practical implications Results reveal that surface acting in a second job not just simply adds to the level of employee emotional exhaustion. Instead levels of surface acting in a first and second job interact with each other to affect emotional exhaustion. This finding suggests service managers must take into account if and how employees are enforced to perform surface acting in the other job to prevent high exhaustion. Originality/value This study is the first to investigate emotional labour among dual job holders, a growing segment of the service workforce that poses unique challenges to organizations.",
Sociology,,,,25,When Women's Gains Equal Men's Losses: Predicting a Zero-Sum Perspective of Gender Status,"JC Ruthig, A Kehn, BW Gamblin, K Vanderzanden, K Jones",Sex Roles,July,July 2016,http://link.springer.com/article/10.1007/s11199-016-0651-9,"Believing that reduced discrimination against women directly corresponds to increased discrimination against men, referred to as a zero-sum perspective (ZSP), may inhibit further attempts toward gender equality. Based on a sample of 313 men and women, we developed and tested both a general measure and a domain-specific measure of the ZSP of gender status then examined sociodemographics (age, education, political orientation, religious beliefs, and past experience with discrimination) and social dominance orientation as predictors of the ZSP of shifts in gender status. Hostile and modern sexism were examined as potential mediators of this relationship. Structural equation models were computed to examine predictive paths separately for men and women. Although some similarities were found, results showed important differences in predictive paths for women and men, and supported the expected mediating role of sexism in the relationships between sociodemographic predictors and the ZSP. Findings have implications for targeting intervention efforts to enhance a win-win or non-zero-sum perspective that may facilitate efforts toward reducing gender discrimination.",
Buisiness/ Marketing,,,,26,Environmental management strategy and organizational citizenship behaviors in the hotel industry: the mediating role of organizational trust and commitment,"D Yoon, J Jang, JH Lee, F Okumus, F Okumus",International Journal of Contemporary Hospitality Management,July,July 2016,http://www.emeraldinsight.com/doi/abs/10.1108/IJCHM-10-2014-0498,"Purpose Recently, the hotel industry has increased its adoption of environmental management practices. Since the research on hotel environmental management often overlooks organizational factors, this study investigated the effects of an environmental management strategy (EMS) on organizational citizenship behavior and tested the mediating roles of organizational trust and commitment in explaining those effects. Design/methodology/approach An online survey of U.S. hotel employees yielded 373 complete responses. Data were analyzed with structural equation modeling (SEM). Findings EMS positively affected organizational trust and commitment, which ultimately influenced organizational citizenship behavior. Furthermore, organizational trust and commitment fully mediated the relationship between EMS and organizational citizenship behavior. Practical implications The results establish the foundation for applying EMS in organizational operations. The findings can benefit managers, as they show how hotel firms’ prosocial practices can enhance employees’ positive behaviors. Originality/value Despite the importance of employee attitudes and behaviors, little is known about the mechanism by which employees perceive the influence of an EMS on organizational citizenship behaviors. Therefore, the study examined organizational trust and commitment as mediators of the relationship between EMS and organizational citizenship behavior.",
Psych,,,,27,Why do people lie online?“Because everyone lies on the internet”,"M Drouin, D Miller, SMJ Wehle, E Hernandez",Computers in Human Behavior,July,July 2016,http://www.sciencedirect.com/science/article/pii/S0747563216304800,"In this study, we examined online deception across four different online venues (i.e., social media, online dating, anonymous chat rooms, and sexual websites) in a sample of 272 U.S. adults (average age = 32.22 years) recruited through Amazon’s MTurk. Few of the participants (16%–32%) reported that they were or would be always honest across these sites, and even fewer (0–2%) suspected that others were always honest in these different online venues. In terms of types of lie, most (55–90%) believed that others were at least sometimes lying about their age, gender, activities, interests, and appearance across the four online venues. Ninety percent expected others to lie at least sometimes about their appearance (most expected lie type) and 55% expected others to lie at least sometimes about their gender (least expected lie type). However, although they expected people to lie more about their gender on sites with more anonymity and invisibility (like anonymous chat rooms and sexual websites), they expected equal rates of lies about appearance across all four websites, even on sites where users provide pictures and have shared acquaintances. Moreover, perceptions of others’ lying behavior on the venue were more significant predictors of own lying behavior than any of the personal characteristics we measured (i.e., Machiavellianism, psychopathy, extraversion, or internet addiction). The importance of mutuality was further reinforced by qualitative comments that showed that, in addition to lying to look more attractive or for privacy or protection concerns, some people lie “because everyone lies on the internet.”",
